,trackname,tracknumber
5624,Superhero (Heroes & Villains) [with Future & Chris Brown],2
5625,Superheroes,2
5626,Superhuman (with K.Flay),1
5627,Superman,13
5628,"Superman March - From ""Superman"" / Live at Walt Disney Concert Hall, Los Angeles / 2019",19
5629,Supermarine,4
5630,Supermarket Flowers,12
5631,Supermassive Black Hole,3
5632,Superstar (Taylor’s Version),18
5633,Supply And Demand,1
5634,Sure Be Cool If You Did,2
5635,Sure Thing,1
5636,Sure Thing - Sped Up,2
5637,Surf Rider,9
5638,Surrender,2
5639,Survival,11
5640,Survival of the Fittest,3
5641,Survive,1
5642,Survivor,2
5643,Survivor - Techno,1
5644,Suspirium,3
5645,Svartalfheim (feat. Eivør),7
5646,Swalla (feat. Nicki Minaj & Ty Dolla $ign),1
5647,Swan Song,13
5648,Sway With Me (with GALXARA),4
5649,Sweat On Your Skin,1
5650,Sweat On Your Skin - Slowed,2
5651,Sweater Weather,8
5652,Sweater Weather - Slowed Down,4
5653,Sweater Weather I Wanna Be Your Girlfriend,1
5654,Sweet,6
5655,Sweet Caroline - Single Version,25
5656,Sweet Child O' Mine,9
5657,Sweet Disposition,19
5658,Sweet Dreams (Are Made Of This),6
5659,Sweet Dreams (Are Made of This) - 2005 Remaster,6
5660,Sweet Lies - Sped Up,1
5661,Sweet Lovin' - Radio Edit,11
5662,Sweet Nothing,12
5663,Sweet Nothing (feat. Florence Welch),10
5664,Sweet Thang,9
5665,Sweet Tooth,10
5666,Sweet but Psycho,17
5667,Sweetest Devotion,11
5668,Sweetest Pie,1
5669,Swim,6
5670,Swing Lynn,9
5671,Swingin Party,4
5672,Swish Swish,4
5673,Swordplay,3
5674,Sympathy For The Devil - 50th Anniversary Edition,1
5675,Sympathy is a knife,3
5676,Sympathy is a knife featuring ariana grande,3
5677,Symphony,1
5678,Symphony (feat. Zara Larsson),2
5679,Synchronicity,9
5680,São Paulo (feat. Anitta),5
5681,T$RL,16
5682,"T-Rex (from the Netflix Film Nimona"")""",1
5683,T-Shirt,9
5684,T.I.N.A. - Radio Edit,12
5685,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",1
5686,TALK ABOUT SEX,1
5687,TBB,1
5688,TEARS,24
5689,TELEFONO NUEVO,10
5690,TELEKINESIS (feat. SZA & Future),18
5691,TEXAS HOLD 'EM,2
5692,TGIF (feat. Tom Morello),4
5693,THATS WHAT I WANT,4
5694,THE DINER,8
5695,THE DRIVER,4
5696,THE GREATEST,6
5697,THE GREATEST SHOW,5
5698,THE LONELIEST,18
5699,THE LOVER,4
5700,THE MIST,5
5701,THE PLAN,18
5702,THE REPLACEMENT,8
5703,THE RIDE,1
5704,THE RIDE - SPED UP,1
5705,THE SCOTTS,1
5706,THE SHADE,8
5707,THE WITHDRAWALS,6
5708,THERAPY SESSION,14
5709,THINGS YOU DO,5
5710,THIQUE,12
5711,THOUSAND MILES,1
5712,THUNDER Y LIGHTNING,18
5713,TIMEZONE,8
5714,TIT FOR TAT,1
5715,TKN (feat. Travis Scott),1
5716,TKO,4
5717,TNA,1
5718,TO THE MOON,1
5719,TOO LONG,20
5720,TOO MUCH,1
5721,TOXIC (with Skepta),11
5722,TQG,6
5723,TRASTEVERE,5
5724,TRRST,9
5725,TU SANCHO,8
5726,TV,1
5727,"TVA - From Loki""/Score""",1
5728,Table Top,11
5729,Tadow - Edit,2
5730,Tagroba Mo'lema,10
5731,Tainted Love,2
5732,Tainted Love - Remastered 2008,2
5733,Take A Bite,1
5734,Take A Chance On Me,3
5735,Take Care,5
5736,Take Care - Bonus Track,15
5737,Take Control,1
5738,Take It All,8
5739,Take It Back,13
5740,"Take It, It's Yours",37
5741,Take Me Away,1
5742,Take Me Back To LA,15
5743,Take Me Out,3
5744,Take Me Thru Dere,5
5745,Take Me To Church,3
5746,Take Me on the Floor,6
5747,Take Me to Church,1
5748,Take My Breath - Single Version,1
5749,Take My Hand,4
5750,Take What You Want (feat. Ozzy Osbourne & Travis Scott),9
5751,Take You Dancing,1
5752,Take You There,1
5753,Take Your Time,1
5754,Take on Me,1
5755,Take on the World,4
5756,Takeaway,6
5757,Takeaway (feat. Lennon Stella),1
5758,Takedown,6
5759,Taken,8
5760,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",11
5761,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",1
5762,Taking What's Not Yours,1
5763,Talk,6
5764,Talk (feat. Disclosure),5
5765,Talk 2 Me,6
5766,Talk Dirty (feat. 2 Chainz),1
5767,Talk That Talk,4
5768,Talk To My Body,1
5769,Talk To You (ft. Elton John),1
5770,Talk Tonight,1
5771,Talk Up (feat. Jay-Z),11
5772,Talk talk,5
5773,Talk to Me,1
5774,Talking Body,4
5775,Talking to Myself,3
5776,Talking to the Moon,7
5777,Talkin’ 2 Myself,2
5778,Tammen Alby,3
5779,Tampa Bay,3
5780,Tangled - Kingdom Dance (Tavern Edition),1
5781,Tarantino,3
5782,Tarot,7
5783,Taste,7
5784,Taste (feat. Offset),14
5785,Taste the Whip,8
5786,Tattoo,1
5787,Taurus (feat. Naomi Wild) - From The Motion Picture Taurus,1
5788,Tavern,23
5789,Te Boté - Remix,1
5790,Te Felicito,1
5791,Te Procuro na Cidade,1
5792,Team,6
5793,Team Fortress 2,28
5794,Tear,12
5795,Tear Me To Pieces,4
5796,Tear in My Heart,5
5797,Teardrops,1
5798,Teardrops On My Guitar - Radio Single Remix,6
5799,Tears,2
5800,Tears Dry On Their Own,7
5801,Tears In The Rain,10
5802,Tearz,9
5803,Technicolour Beat,3
5804,Techno Syndrome 2021 (Mortal Kombat),1
5805,Teen Idle,9
5806,Teen X (feat. Future),10
5807,Teenage Dirtbag,4
5808,Teenage Dream,4
5809,Teenage Dream - Kaskade Club Remix,17
5810,Teenage Whore,1
5811,Teeth,9
5812,Telephone,18
5813,Televisions,3
5814,Tell Me If You Wanna Go Home,2
5815,Tell Me Something I Don't Know,13
5816,Tell Me Why (Taylor’s Version),8
5817,Tell Me a Lie,7
5818,Tell Ur Girlfriend,1
5819,Tell Your Friends,3
5820,Tell më,10
5821,Temperature,11
5822,Temperature Rising,1
5823,Ten Thousand Fists,1
5824,Tenerife Sea,8
5825,Tennessee Whiskey,8
5826,Tennis Court - Flume Remix,1
5827,Tequila,2
5828,Tequila Makes Her Clothes Fall Off,3
5829,Territorial Pissings,7
5830,Territorial Pissings - Boombox Rehearsals,11
5831,Territorial Pissings - Devonshire Mix,6
5832,Territorial Pissings - Live At The Paramount,18
5833,Tessa,2
5834,Test Drive - From How To Train Your Dragon Music From The Motion Picture,11
5835,Tetris Theme,8
5836,Texas Sun,1
5837,Texas Tea,13
5838,Thank You,6
5839,That Way,15
5840,That's How Horses Are,2
5841,That's My Kind Of Night,2
5842,That's Not Me,9
5843,That's The Way,15
5844,That's The Way It Is,3
5845,That's What I Like,4
5846,Thats All I Do,1
5847,That’s How You Feel,7
5848,That’s So True,15
5849,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),24
5850,"The 2016 Fanfare (From Marvel Studios"")""",1
5851,The 30th,2
5852,The A Team,1
5853,The Abyss (feat. Lana Del Rey),19
5854,The Adults Are Talking,1
5855,The Albatross,19
5856,The Alchemy,30
5857,The All Spark,3
5858,The Animal,7
5859,The Archer,5
5860,The Arrival of Kai,4
5861,The Avengers,18
5862,The Bad Touch,10
5863,The Bakery,7
5864,The Banks Of The Sansretour,7
5865,The Batman,1
5866,The Battle of Crait,16
5867,The Beach,5
5868,"The Beach - from Little Women"" Soundtrack""",3
5869,The Beast,15
5870,The Beautiful Steppe,2
5871,The Beginning,14
5872,The Beige Stallion,23
5873,The Best Day,9
5874,The Best Day (Taylor’s Version),12
5875,The Best I Ever Had,1
5876,"The Best Part - From High School Musical: The Musical: The Series (Season 2)""""",1
5877,The Big Ship - 2004 Remaster,5
5878,The Birds Pt. 1,5
5879,The Birds Pt. 2,6
5880,The Black Dog,17
5881,The Black Pearl,6
5882,The Blackest Day,11
5883,The Blonde,7
5884,The Blower's Daughter,3
5885,The Bolter,29
5886,The Bones,12
5887,The Book of Boba Fett,17
5888,The Box,2
5889,The Bridge of Khazad Dum,13
5890,The Buccaneers,11
5891,The Business,1
5892,The Call of Destiny,1
5893,The Caverns of Isengard,2
5894,The Chain - 2004 Remaster,7
5895,The Choice,11
5896,"The Cleaner - From Toy Story 2""""",13
5897,The Cliftlands,16
5898,The Color Violet,4
5899,The Comeback Song,4
5900,"The Council of Elrond (feat. Aniron"") [Theme for Aragorn and Arwen]""",10
5901,The Curse,7
5902,The Cut That Always Bleeds,6
5903,The Day That Wasn’t,9
5904,The Days,2
5905,The Dead Dance,10
5906,The Devil in I,4
5907,The Diary Of Jane,7
5908,The Doll People,4
5909,The Dolphins,1
5910,The Door,4
5911,The Dope Show - Live Version (Explicit),7
5912,The Dragon Book,6
5913,The Dragon Boy,5
5914,The Dragon Prince – Main Title,1
5915,The Dragonborn Comes - Extended Version,8
5916,The Driver,2
5917,The Dying Gull,8
5918,The Ecstasy Of Gold - 2004 Remaster,20
5919,The Ecstasy of Gold - L'Estasi Dell'oro,20
5920,The Edge Of Glory,14
5921,The Emptiness Machine,1
5922,The End - Remastered 2009,16
5923,The Fall,9
5924,The Fame,7
5925,The Fastest Man Alive - Always Late,1
5926,The Fate of Ophelia,4
5927,"The Fellowship (From The Lord of the Rings: The Fellowship of the Ring"")""",5
5928,"The Fields of Ard Skellig (From The Witcher 3"")""",2
5929,The Fighting Uruk-hai,4
5930,The Final Countdown,1
5931,The Fine Art Of Conversation,7
5932,The First Departure,4
5933,The Fortune of Edward Kenway,5
5934,The Fox (What Does the Fox Say?),1
5935,The Future Is A Foreign Land,1
5936,The Game (Triple H),1
5937,The Game is On,2
5938,The General Lee,2
5939,The Giver,1
5940,The Glory Days,1
5941,The Godfather Finale,12
5942,The Godfather Waltz (Main Title),1
5943,The Gold - Phoebe Bridgers Version,1
5944,The Good Life,1
5945,"The Good, The Bad And The Ugly - 2004 Remaster",1
5946,The Great Gig in the Sky,5
5947,The Great War,14
5948,The Greatest (feat. Kendrick Lamar),14
5949,"The Hanging Tree (From ""The Hunger Games: Mockingjay, Pt. 1"")",6
5950,The Heart Wants What It Wants,1
5951,The High Seas,4
5952,The Highway Man,5
5953,The Hills,15
5954,The Hills X Creepin X The Color Violet,1
5955,The Hook Up,9
5956,The House of the Rising Sun,1
5957,The Imitation Game,1
5958,The Immolation Scene,12
5959,The Imperial March (Darth Vader's Theme),5
5960,The Imperial Suite,20
5961,The Joker And The Queen (feat. Taylor Swift),1
5962,The Journey Begins,3
5963,The Kill,3
5964,The King,2
5965,The King's Arrival,5
5966,The Kiss,9
5967,The Kiss - Skit,6
5968,The Knights' Theme,1
5969,The Knowing,9
5970,The Kraken,2
5971,The Land of the Rus,9
5972,The Landing,31
5973,The Last Day On Earth - Live Version (Explicit),13
5974,The Last Time,10
5975,The Last of Us,4
5976,The Last of Us Part II,1
5977,"The Launch - From Treasure Planet""/Score""",9
5978,The Lazy Song,5
5979,The Legend of Ashitaka - from 'Princess Mononoke',11
5980,The Legend of Korra End Credits,25
5981,The Less I Know The Better,7
5982,The Life of a Showgirl (feat. Sabrina Carpenter),12
5983,The London (feat. J. Cole & Travis Scott),19
5984,The Long Run,1
5985,The Lost Soul Down,1
5986,The Love Song,2
5987,The Lucky One,44
5988,The Machine,1
5989,The Magician,1
5990,The Man,14
5991,The Man I Want to Be,9
5992,The Man Village,11
5993,The Man Who Can't Be Moved,4
5994,The Mandalorian,9
5995,The Manuscript,31
5996,The Maze Runner,1
5997,The Medallion Calls,2
5998,The Mercy Seat,3
5999,The Middle,4
6000,The Moment I Knew,17
6001,The Monster,12
6002,The Moon Over Mount Gorgon,15
6003,The Moon's Song,1
6004,The Morning,25
6005,The Mother We Share,1
6006,The Motto,22
6007,The Movie,12
6008,The Muck,6
6009,The Musty Scent Of Fresh Pâté,9
6010,"The Name's Bond... James Bond (From Casino Royale"" Soundtrack)""",25
6011,The National Anthem,3
6012,The New Lobby Boy,6
6013,The Next Best American Record,10
6014,The Next Episode,11
6015,The Night Is Still Young,26
6016,The Night King,13
6017,The Night The Lights Went Out In Georgia,6
6018,The Night We Met,28
6019,The Nights,3
6020,"The Nutcracker Ballet, Op. 71: No. 13. Waltz of the Flowers - Excerpt",15
6021,The One,1
6022,The One That Got Away,21
6023,The One That Got Away - Acoustic,13
6024,The One Thing,10
6025,The Only Exception,6
6026,"The Only Exception - Live at Red Rocks Amphitheatre, Morrison, CO, 8/12/2014",24
6027,The Other Side,9
6028,The Other Side (from Trolls World Tour),1
6029,The Other Side Of The Door (Taylor’s Version),19
6030,The Other Woman,11
6031,The Parting Glass,3
6032,The Party & The After Party,12
6033,The Passenger,4
6034,"The Path - from The Last of Us: Season 2""""",1
6035,The Penguins Of Madagascar,1
6036,The Perfect Girl,1
6037,The Perfect Girl - The Motion Retrowave Remix,1
6038,The Piano Duet,11
6039,The Power - Orchestral Version,22
6040,The Power Of Love - From “Back To The Future” Soundtrack,7
6041,The President Has A Sex Tape,9
6042,The Pretender,1
6043,The Prophecy,26
6044,"The Punisher Main Theme (From The Punisher Netflix Series"")""",4
6045,The Punisher Main Title,1
6046,The Real Slim Shady,8
6047,The Reason,30
6048,The Red Capes Are Coming - Lex Luthor Theme,3
6049,The Return Of The Eagle (feat. Atli Orvarsson),3
6050,The Riddler,1
6051,The Ride of the Rohirrim,7
6052,The Rising of the Shield Hero,1
6053,The Rocky Road to Dublin,6
6054,The Room of Requirements,8
6055,"The Rose Song - From High School Musical: The Musical: The Series (Season 2)""""",1
6056,The Scare Floor,8
6057,The Scientist,4
6058,The Serpent,1
6059,The Setup - GTA V Finale Version,7
6060,The Shootist,2
6061,The Show Goes On,6
6062,The Slopes Of The Blessure,18
6063,The Smallest Man Who Ever Lived,14
6064,The Sound of Silence,11
6065,The Speed Of Pain,6
6066,"The Statues of Music (from Solo Leveling"") - Cover""",1
6067,The Story Continues,1
6068,The Story Of Us,38
6069,The Subway,1
6070,The Summer’s Here,1
6071,The Sweet Escape,2
6072,The Sweetest Taboo,5
6073,The Theory of Everything,24
6074,The Thunder-Fire Dragon Roars,1
6075,The Time (Dirty Bit),1
6076,The Tortured Poets Department,2
6077,The Touch,1
6078,The Tourist,12
6079,The Tourniquet Prosthetic - Prosthetic Dance Mix,2
6080,The Tree When We Sat Once,45
6081,The Trio - 2004 Remaster,21
6082,The Truth Untold,10
6083,The Umbrella Academy,4
6084,The Unassuming Happy Docks,2
6085,The Vagabond,20
6086,The Vikings Have Their Tea,25
6087,The Voice in My Heart,7
6088,The Walking Dead Theme,8
6089,The Way,8
6090,The Way (feat. Mac Miller),8
6091,The Way I Am Now,1
6092,The Way I Are,4
6093,The Way I Know,1
6094,The Way I Loved You (Taylor’s Version),10
6095,The Way Life Goes Slowed,1
6096,The Way Things Are,8
6097,The Way You Love Me,30
6098,The Way You Make Me Feel - 2012 Remaster,4
6099,The Weekend,7
6100,The Weekend - Funk Wav Remix,1
6101,The Whirling Ways of Stars that Pass,27
6102,The Winds of Skellige,1
6103,The Woo (feat. 50 Cent & Roddy Ricch),10
6104,The World Is Mine,1
6105,The Worst,5
6106,The Zephyr Song,6
6107,The Zone,4
6108,The bioluminescence of the night,4
6109,Their First Time,11
6110,"Theme (From Battlefield 1942"")""",15
6111,"Theme (From Indiana Jones"")""",2
6112,"Theme (from Spider Man"") [Original Television Series]""",1
6113,Theme From Sherlock Holmes,16
6114,Theme for Rohan,15
6115,Theme from Black Sails,1
6116,Theme from Glass Onion,1
6117,"Theme from The Exorcist""""",10
6118,Theme from World War Z,1
6119,Then,4
6120,There Is a Light That Never Goes Out,3
6121,There Is a Light That Never Goes Out - 2011 Remaster,9
6122,There Will Be Blood,2
6123,There for You,1
6124,There's Nothing Holdin' Me Back,1
6125,Therefore I Am,15
6126,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",1
6127,They Wanna Fuck,6
6128,Thin Illusions,8
6129,Think About Us,1
6130,Think I'm Crazy,1
6131,Think of You,3
6132,Thinking 'Bout You,9
6133,Thinking About You,5
6134,Thinking About You (feat. Ayah Marar),15
6135,Thinking Bout You,15
6136,Thinking out Loud,11
6137,Third Date,8
6138,Third Day Of A Seven Day Binge,3
6139,This Ain't a Love Song,1
6140,This City,5
6141,This Could Be Us,5
6142,This Eve of Parting,16
6143,This Feeling,6
6144,This Girl (Kungs Vs. Cookin' On 3 Burners),2
6145,This Is A Life,45
6146,This Is America,1
6147,This Is Berk,1
6148,This Is How I Fight,37
6149,This Is How We Do,7
6150,This Is How We Roll,30
6151,This Is Love,3
6152,This Is Not Real,6
6153,This Is Revenge,19
6154,This Is The Life,2
6155,This Is What It Feels Like,2
6156,This Is What Makes Us Girls,12
6157,This Is What You Came For,1
6158,This Is Why,1
6159,This Is Why We Can't Have Nice Things,13
6160,This Kiss,4
6161,This Little Girl,1
6162,This Love,54
6163,This Love (Taylor’s Version),11
6164,This Mess We're In,7
6165,This Moment,11
6166,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),1
6167,This Time For Sure,13
6168,This Town,2
6169,This is the Killer Speaking,1
6170,Thnks fr th Mmrs,7
6171,Thor: Ragnarok,3
6172,Those Eyes,1
6173,Those Eyes - Sped Up,1
6174,Thoughts Of Mom,18
6175,Thousand Miles (feat. Brandi Carlile),5
6176,Three Trees,1
6177,Thrift Shop (feat. Wanz),6
6178,Thriller,4
6179,Through The Eyes Of A Child,7
6180,Through the Valley,3
6181,Thru Your Phone,12
6182,Thuggish Ruggish Bone,3
6183,Thunder,10
6184,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",5
6185,Thunderstruck,1
6186,Thursday,3
6187,Thérèse,8
6188,TiK ToK,6
6189,Tick Tock (feat. 24kGoldn),1
6190,Tied Together with a Smile,37
6191,Ties in Texas,1
6192,Tigi Nehareb,6
6193,Til I'm Blue,4
6194,Till Dawn (Here Comes The Sun),10
6195,Till Forever Falls Apart,2
6196,Till I Collapse,18
6197,Till We Meet Again,1
6198,Till the World Ends,1
6199,Timber,13
6200,Time,18
6201,Time Fades Away,1
6202,Time Is Up,6
6203,Time Machine (with MSPUIYI),1
6204,Time Moves Slow,3
6205,Time of Our Lives,4
6206,Time to Pretend,1
6207,Timeless (feat Playboi Carti),13
6208,Timeless (feat. Playboi Carti),1
6209,Times Like These,10
6210,Titanium (feat. Sia),14
6211,Tití Me Preguntó,4
6212,To,9
6213,To Aslan's Camp,9
6214,To Be Free,1
6215,To Be Loved,11
6216,To Be So Lonely,7
6217,To Brazil!,7
6218,To Build a Home,15
6219,To Love,18
6220,To Your Love,2
6221,To the Games,22
6222,"To the Spaceport - From Treasure Planet""/Score""",4
6223,To the Top,3
6224,Today Was A Fairytale (Taylor’s Version),20
6225,Todo De Ti,1
6226,Together We Map the World,2
6227,Tokyo Revengers -Main Theme-,17
6228,Tom's Diner,18
6229,"Tom's Diner - 7 Version""",4
6230,Tomorrow,3
6231,Tomorrow Never Knows - Remastered 2009,14
6232,Toneladas,13
6233,Tongue,2
6234,Tongue Tied,2
6235,Tonight,1
6236,Tonight (I'm Fuckin' You),1
6237,Tonight Tonight,2
6238,Too Close,11
6239,Too Good,16
6240,Too Good At Goodbyes,2
6241,Too Good At Goodbyes - Live From The Royal Albert Hall,5
6242,Too Good to Say Goodbye,9
6243,Too Late To Love You,1
6244,Too Many Nights (feat. Don Toliver & with Future),3
6245,Too Much,8
6246,Too Much To Ask,5
6247,Too Sweet,4
6248,Too Toxic,1
6249,Too Young,11
6250,"Took My Love (feat. Red Foo, Vein & David Rush)",10
6251,Toosie Slide,1
6252,Top (feat. Pi'erre Bourne),19
6253,Top Of The World,4
6254,Toss A Coin To Your Witcher,2
6255,Touch,6
6256,Touch Bress,1
6257,Touch It,13
6258,Touch of My Hand,8
6259,Tough,1
6260,Toumast Tincha,1
6261,Tourniquet,4
6262,Toxic,10
6263,"Toxic - From Promising Young Woman"" Soundtrack""",16
6264,Toxicity,24
6265,Train Wreck,6
6266,Training Season,4
6267,Training Wheels,7
6268,Trampoline (with ZAYN),1
6269,Trance,2
6270,Trance (with Travis Scott & Young Thug),6
6271,Trap (feat. Maluma),7
6272,Trap Queen,2
6273,Trapzzoid,1
6274,Trauerweide,4
6275,Treacherous,23
6276,Treacherous (Taylor's Version),3
6277,Treacherous - Original Demo Recording,20
6278,Treasure,4
6279,Treat People With Kindness,11
6280,Treat You Better,8
6281,Treefingers,5
6282,Tried To Tell Ya,8
6283,Triggernometry,9
6284,Trim,1
6285,Trinity,16
6286,Trinity: titoli,1
6287,Trip,27
6288,Trippin' On A Tuesday,1
6289,Trippy Mane (ft. Project Pat),4
6290,Trivia 承 : Love,6
6291,Trivia 起 : Just Dance,2
6292,Trivia 轉 : Seesaw,11
6293,Trojan,1
6294,Trophy Wife,1
6295,Tropical Vacation,1
6296,Trouble,6
6297,Troubled Waters,3
6298,Troublemaker,6
6299,Troublemaker (feat. Flo Rida),2
6300,Truck Norris Interlude,9
6301,True Colors,7
6302,True Faith,11
6303,True Love,6
6304,True Love (feat. Lily Allen),5
6305,Trumpets,8
6306,Truth,22
6307,Truth Hurts,26
6308,Truth or Dare,1
6309,Try,3
6310,Tryin' to Love Me,4
6311,Trying Your Luck,10
6312,Tschick,1
6313,Tu Boda,1
6314,Tu Me Manques,6
6315,Tumblr Girls (feat. Christoph Andersson),15
6316,Tundra,33
6317,Tunnel Vision,10
6318,Tuoppein'nostelulaulu,6
6319,Turn Back Time,1
6320,Turn Down for What,1
6321,Turn Me On,1
6322,Turn Me On (feat. Nicki Minaj),2
6323,Turning Page,1
6324,Turning Tables,3
6325,Tusa,16
6326,Twenty Eight,10
6327,Two Dozen Roses,10
6328,Two Slow Dancers,14
6329,Two Tens (feat. Anderson .Paak),1
6330,Two people,16
6331,Type Shit,4
6332,U Can't Touch This,2
6333,U With Me?,3
6334,U in my head,1
6335,U&I,12
6336,U.N.I.T.Y.,13
6337,UN DIA (ONE DAY),24
6338,UN DIA (ONE DAY) (Feat. Tainy),1
6339,UN PREVIEW,22
6340,UP!,1
6341,USAliens,8
6342,Ubatuba,1
6343,Ultimate,1
6344,Ultraviolence,2
6345,Umbrella,2
6346,Un Coco,18
6347,Un Ratito,5
6348,Un Verano Sin Ti,21
6349,Uncertain Homestead - Mount and Blade Original Video Game Soundtrack,1
6350,Uncharted,1
6351,"Uncharted, Drake's Fortune: Nate's Theme",7
6352,Unconditionally,10
6353,Under Stars - Loon Remix,19
6354,Under The Influence,3
6355,Under The Water,11
6356,Under Your Skin,1
6357,Under Your Spell,2
6358,Under the Bridge,1
6359,Underdog (Lil Baby & Gunna),6
6360,Underdogs,9
6361,Underwater,1
6362,Undo,2
6363,Unfair,14
6364,Unforgettable,2
6365,Unholy (feat. Kim Petras),7
6366,Unholy (feat. Kim Petras) - Live From The Royal Albert Hall,9
6367,Unicorn's Rest,13
6368,Unintended,7
6369,Unlock it (Lock It) - feat. Kim Petras and Jay Park,8
6370,Unmade,13
6371,Unpunishable,4
6372,Unremember - Radio Mix,1
6373,Unshaken,2
6374,Unstable (feat. The Kid LAROI),6
6375,Unsteady,4
6376,Unstoppable,16
6377,Unsure - MEDUN Remix,2
6378,Until I Found You,8
6379,Until I Found You (with Em Beihold) - Em Beihold Version,1
6380,Until I Found You - Piano Version,1
6381,Until It Beats No More,7
6382,Until We're Skin & Bones,5
6383,Untitled,28
6384,Untouchable (Taylor’s Version),15
6385,Unwanted,6
6386,Unwritten,4
6387,Up (feat. Demi Lovato),4
6388,Up All Night,40
6389,Up Is Down,5
6390,"Up Is Down - From Pirates of the Caribbean: At World's End""/Score""",5
6391,Up There,13
6392,Up next: A few songs,6
6393,Up&Up,11
6394,Upside Down,2
6395,Uptown Funk (feat. Bruno Mars),4
6396,Urban Twilight,4
6397,Us,5
6398,Us - 2005 Remaster,2
6399,Us Against the World,5
6400,Us and Pigs,1
6401,Us and Them,7
6402,Use Somebody,4
6403,Used To Be Young,5
6404,Used To Love,1
6405,Used to Love You Sober,2
6406,User Friendly,11
6407,VALENTINE,2
6408,VALENTINO,5
6409,VANISH. - Slowed + Reverb,1
6410,VHS,1
6411,VIRGO'S GROOVE,9
6412,VIRUS - Odd Mob Remix,3
6413,VOID,2
6414,VOU 787,7
6415,VUELVE CANDY B,14
6416,Vagabond,13
6417,Valentine's Day,16
6418,Valerie,10
6419,Valiant Hearts: The Great War - Little Trinketry - Cover Version,1
6420,Valkyrie,32
6421,Valleys,4
6422,Vamp Anthem,12
6423,Vanilla Baby,6
6424,Vanish Into You,6
6425,Vegas (From the Original Motion Picture Soundtrack ELVIS),1
6426,Vegetable,8
6427,Vem Nin Mim Bebê,1
6428,Venice Bitch,3
6429,Venice Rooftops,2
6430,Venom - Music From The Motion Picture,1
6431,Venus As A Boy,3
6432,Venus Fly Trap,2
6433,Verbatim,8
6434,Versace on the Floor,5
6435,Verse Chorus Verse - Boombox Rehearsals,10
6436,Very Full,24
6437,Video Games,12
6438,Video Games - Piano & Orchestra Version of Lana Del Rey's Video Games,1
6439,Vienna,5
6440,Views,19
6441,Vigilante Shit,8
6442,Vikings Reach Land,16
6443,Villain,11
6444,Vim Ti Agradecer,1
6445,Violence - Original Mix,4
6446,Violent Youth,9
6447,Violet Chemistry,9
6448,Visa,1
6449,Viva La Vida,8
6450,Viva alleluja - 2° versione,7
6451,Voando Alto,1
6452,Vodka Cranberry,1
6453,Void,6
6454,Volta Amor,1
6455,Von dutch,6
6456,Von dutch a. g. cook remix featuring addison rae,6
6457,Voodoo Child (Slight Return),16
6458,Voy a Brillar (Reggae),1
6459,W Bena2es Hayati Ma3ak,9
6460,W.D.Y.W.F.M?,14
6461,W.D.Y.W.F.M? - Chopped Not Slopped,11
6462,W.D.Y.W.F.M? - Slowed Down,7
6463,W.T.P.,5
6464,WAIT FOR U (feat. Drake & Tems),7
6465,WAKE UP,8
6466,WALKING AWAY,10
6467,WANT U,1
6468,WAP (feat. Megan Thee Stallion),1
6469,WASTE,8
6470,WATATI (feat. Aldo Ranks),5
6471,WAY IT IS,7
6472,WHARF TALK (feat. A$AP Rocky),20
6473,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",1
6474,WHEN I WAS OLDER - Music Inspired By The Film ROMA,1
6475,WHERE IS MY HUSBAND!,1
6476,WHERE SHE GOES,17
6477,WHO,1
6478,WHO? WHAT!,14
6479,WILDFLOWER,5
6480,WITHOUT YOU,7
6481,WRONG,2
6482,WTF Are We Talking For,17
6483,WTF Do I Know,1
6484,WTFYM,16
6485,WWE: I Won't Do What You Tell Me (Stone Cold Steve Austin) [Original Theme],1
6486,WWIII,8
6487,Wagon Wheel,14
6488,Wait,3
6489,Wait For You,1
6490,Wait a Minute!,33
6491,Waiting All Night (feat. Ella Eyre),11
6492,Waiting For Love,1
6493,Waiting For Tonight,1
6494,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),3
6495,Wake Me Up,3
6496,Wake Me Up (feat. Justice),1
6497,Wake Me Up - Radio Edit,1
6498,Wake Me up When September Ends,7
6499,Wake Up,5
6500,Wake Up Alone,10
6501,Wake Up in the Sky,12
6502,Wake up Lovin' You,1
6503,Wake up Loving You,1
6504,Walk Don't Rango,19
6505,Walk Em Down (feat. Roddy Ricch),6
6506,Walk It Talk It,6
6507,Walk on Water,1
6508,Walked Through Hell,7
6509,Walking On A Dream,2
6510,Walking On Air,4
6511,Walking On Sunshine,4
6512,Wall Flowers,1
6513,Walls Could Talk,10
6514,Waltzing on Rooftops and Cobblestones,13
6515,Wanna Be Loved,1
6516,Wanna Be That Song,4
6517,Wanna Do It,1
6518,Wannabe,2
6519,Want U Back,1
6520,Want to Want Me,1
